name;ra;dec;amplitude;beyond1std;fpr_mid20;fpr_mid35;fpr_mid50;fpr_mid65;fpr_mid80;linear_trend;max_slope;med_abs_dev;med_buf_range_per;pair_slope_trend;percent_amplitude;pdfp;skew;kurtosis;std;ls;rcorbor;magratio;data_num;object;dmjd
CSS090622:225131+152654;342.879233;15.44835;2.125;0.135135;0.14044;0.252091;0.410601;0.648723;0.846247;-4e-06;192.941176;0.165;0.993243;0.466667;16.538805;0.718394;-2.564779;20.826611;0.372905;0.312387;0;0.496622;296;Flare;55005
CSS090615:124907+003142;192.278046;0.528388;2.639654;0.6;0.206775;0.361856;0.516937;0.698086;0.879234;0.008247;172.450105;1.394222;0.6;1;2.61151;3.197445;0.291301;-1.73706;2.17723;4.173855;0.4;0.4;5;Flare;54998
CSS090128:130440-074833;196.165249;-7.809253;1.205;0.024096;0.149161;0.200863;0.298373;0.451828;0.691409;2.7e-05;581.081079;0.04;0.991968;0.433333;6.798301;0.247004;-6.456105;45.365974;0.251982;1.460261;0;0.493976;249;Flare;54860
CSS081202:043346-073232;68.443186;-7.542449;1.385;0.098039;0.119838;0.245855;0.372039;0.54218;0.720227;-1.5e-05;117.486339;0.11;0.988235;0.466667;6.726806;0.540571;-4.466167;27.820636;0.301546;0.609479;0;0.470588;255;Flare;54803
CSS080909:005031+270560;12.62808;27.099899;1.545;0.235294;0.113752;0.254726;0.473367;0.598654;0.761468;-7.7e-05;324.615384;0.27;0.993464;0.466667;6.655966;1.160096;-1.197097;4.162399;0.465596;0.380643;0;0.490196;153;Flare;54719
CSS080906:002155-085858;5.478918;-8.982928;1.675;0.21134;0.120791;0.212861;0.30654;0.46699;0.615736;-2.1e-05;442.477876;0.245;0.994845;0.5;6.379042;1.440656;-1.18637;4.040252;0.456565;9.496253;0;0.489691;194;Flare;54716
CSS080515:161146+171401;242.942912;17.23376;1.901541;0.363636;0.099696;0.237596;0.462907;0.718836;0.94859;0.002374;203.074507;0.407768;0.727273;0.7;1.326837;2.14642;0.798159;-1.051959;1.410517;6.249021;0.272727;0.454545;11;Flare;54602
CSS080228:044416+054730;71.066862;5.791743;2.135093;0.333333;0.014084;0.187806;0.443107;0.617384;0.822379;0.000395;120.51222;0.57554;0.666667;0.625;25.791955;22.305336;-0.71282;-1.325111;1.658671;6.260996;0;0.444444;9;Flare;54526
CSS071215:041533+212743;63.887613;21.462199;1.565;0.216216;0.029632;0.081734;0.118414;0.274161;0.775377;0.000274;327.348066;0.37;0.945946;0.533333;9.375284;6.192154;-1.335359;0.763383;0.84452;3.543958;0;0.486486;37;Flare;54451
CSS071102:022517-071212;36.32208;-7.203541;1.83;0.234043;0.093754;0.15533;0.312483;0.392653;0.682185;-6.6e-05;380.813953;0.39;0.957447;0.5;11.133889;2.35358;-1.477559;3.273145;0.718762;10.947095;0;0.489362;47;Flare;54408
1001042071034;117.589245;-1.242131;0.45;0.441176;0.138338;0.203702;0.344044;0.75149;0.95813;-0.000119;63.444109;0.225;1;0.366667;0.534601;0.820981;-0.254978;-0.954968;0.278864;2.108076;0;0.5;34;RRLyrae;0
1107042050097;117.743451;6.992751;0.525;0.247059;0.048312;0.098214;0.242312;0.611086;0.828202;6.7e-05;35.667107;0.05;1;0.566667;1.398833;1.229106;-1.201196;-0.170549;0.313585;0.864942;0;0.458824;85;RRLyrae;0
1004031067633;84.938102;-3.42152;0.575;0.291429;0.178095;0.367093;0.547041;0.748625;0.92448;0.000132;51.630435;0.16;1;0.5;1.290868;1.326494;-0.679237;-1.135573;0.370909;0.454152;0;0.497143;175;RRLyrae;0
1104032086755;88.654832;4.903028;0.51;0.333333;0.132019;0.31163;0.446821;0.551437;0.843751;2.9e-05;21.75805;0.19;1;0.566667;0.819701;0.868271;-0.432072;-0.740819;0.255634;0.479046;0;0.489899;198;RRLyrae;0
1001025020643;69.514535;-1.995858;0.63;0.384868;0.171651;0.319278;0.451032;0.631093;0.760739;3e-05;56.074766;0.19;1;0.6;0.905461;0.80922;-0.534079;-0.535681;0.248046;0.579545;0;0.496711;304;RRLyrae;0
1001016028542;42.482832;-1.419967;0.545;0.323077;0.10318;0.237302;0.383888;0.512256;0.662217;6.1e-05;32.258065;0.165;1;0.5;1.060608;0.972891;-0.811405;-0.120869;0.254479;0.54814;0;0.5;260;RRLyrae;0
1107012001514;31.880966;5.684907;0.425;0.335025;0.226149;0.371172;0.491135;0.639395;0.801319;5e-06;34.412955;0.16;1;0.333333;0.393157;0.596754;0.266106;-0.868438;0.204929;0.286082;0;0.48731;197;RRLyrae;0
1004011003046;29.467994;-5.534199;0.51;0.283525;0.236362;0.365503;0.518912;0.66809;0.842162;5.7e-05;48.969072;0.12;1;0.6;0.905461;0.434787;-0.849403;1.97329;0.170952;0.301464;0;0.494253;261;RRLyrae;0
1001009002289;22.569564;-2.711184;0.825;0.329167;0.177648;0.285194;0.415811;0.551849;0.761006;-7e-05;96.625767;0.18;1;0.466667;0.836538;0.833961;-0.312045;0.315406;0.252247;0.610521;0;0.4875;240;RRLyrae;0
1107009028237;24.423186;7.055469;0.465;0.383399;0.205183;0.30704;0.446922;0.678001;0.892175;7.3e-05;30.181087;0.16;1;0.466667;0.770109;0.84225;-0.586736;-0.916185;0.258239;0.54782;0;0.494071;253;RRLyrae;0
1101007040174;18.418482;2.161014;0.595;0.232365;0.1658;0.287002;0.414064;0.556458;0.826218;6.9e-05;43.307087;0.13;1;0.533333;1.511886;1.398901;-0.892541;-0.570339;0.350507;0.451653;0;0.497925;241;RRLyrae;0
1004005021870;11.335994;-4.323539;0.34;0.340426;0.140536;0.270591;0.373216;0.561589;0.86492;-3e-06;18.320611;0.12;1;0.5;0.555966;0.603748;-0.647447;-0.563522;0.177007;0.56668;0;0.485106;235;RRLyrae;0
1101005048212;12.395951;2.381742;0.46;0.275;0.255214;0.348407;0.436539;0.52522;0.807987;1.3e-05;32.258065;0.14;1;0.666667;0.90538;0.908306;-0.681526;-0.726364;0.247469;0.54264;0;0.5;240;RRLyrae;0
1001126012320;354.155269;-2.211901;0.98;0.181185;0.097017;0.293534;0.384808;0.573006;0.759133;-1.2e-05;368.421053;0.12;0.993031;0.533333;0.753881;0.694246;1.559848;6.153721;0.284996;0.28145;0;0.494774;287;RRLyrae;0
1101128018601;358.534261;0.963378;1.91;0.15;0.09783;0.265586;0.35597;0.54249;0.884365;-0.000468;195.751138;0.22;0.85;0.4;0.955332;1.273754;1.807162;2.088935;0.98491;2.628359;0.15;0.5;40;RRLyrae;0
