objID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
1237648672921485632,20.02082,18.11152,17.10404,16.63865,16.22871
1237648598263922786,24.3833,24.3919,23.64049,24.36179,19.86642
1237648598263267875,24.6543,21.24171,19.55019,18.92706,18.50987
1237648598263070958,23.56595,21.06685,19.23755,18.58389,18.16385
1237648597190508962,21.80572,19.67732,18.37064,17.83431,17.29017
1237648597190050276,21.25203,19.91837,19.42455,19.10304,18.58599
1237648596116833186,22.54721,22.22297,20.16775,19.44999,19.00546
1237648674529411619,24.78692,21.38341,19.80281,19.2179,18.75793
1237648674530394510,22.25066,20.05375,18.81863,18.36176,17.87133
1237648674511388761,23.50851,21.30157,19.75155,19.08323,18.6314
1237648673997062939,20.68925,19.64748,19.08611,18.85086,18.68604
1237648673996997574,21.22468,19.81627,18.9207,18.54179,18.1626
1237648673996997073,20.81388,19.03638,18.08641,17.72396,17.37569
1237648673995489620,21.64575,19.95956,18.79241,18.34689,18.03733
1237648673995423834,22.40798,21.05752,19.88322,18.52572,18.14076
1237648673995423830,14.2261,12.84812,12.37233,14.06506,12.1453
1237648673993195992,23.71368,21.79499,20.12188,19.50166,19.0538
1237648673992803429,24.21721,22.19471,20.42765,19.71365,19.30844
1237648673992803136,23.73577,21.7298,20.11028,19.44006,18.98396
1237648673992802388,22.89086,20.89841,19.36264,18.72948,18.31442
1237648673992475162,22.84713,20.76571,19.16813,18.59762,18.26936
1237648675066609956,21.37654,19.67438,18.75732,18.19744,17.64967
1237648673459143398,22.01961,20.70046,20.13369,19.96167,19.41857
1237648675066741322,22.90988,21.30084,19.63574,19.00501,18.61835
1237648673458685247,23.30603,22.14936,20.29498,19.5197,19.04306
1237648673458028867,21.2654,19.32581,18.22952,17.68645,17.27198
1237648673456390412,22.66833,20.56408,19.22232,18.63833,18.16144
1237648672923779826,21.82246,19.41423,18.36953,17.82484,17.32351
1237648672922337955,20.83674,19.16879,18.22846,17.72373,17.20125
1237648672921354991,22.53749,20.51346,19.38286,18.73101,18.1306
1237648674512044173,20.89388,19.80863,18.85791,18.45964,18.15185
1237648674511978652,21.56437,20.29449,19.37558,18.88668,18.55531
1237648674530263512,22.27149,20.39608,19.18688,18.75023,18.35686
1237648675068379238,24.20221,25.20561,23.60029,23.15581,22.82686
1237648675068379511,21.04016,19.2766,18.24356,17.77943,17.36654
1237648674511388844,20.57201,19.04915,18.36986,17.96982,17.57907
1237648674531574300,21.36776,19.37613,18.32105,17.79282,17.40865
1237648673995752312,23.74378,22.17718,20.16951,19.53273,19.09064
1237648675034759209,21.53675,20.03334,19.03082,18.60968,18.34597
1237648673994702955,20.68034,18.73758,17.70729,17.23405,16.91031
1237648673993130437,21.12342,19.74381,18.75179,18.38215,18.09025
1237648673993130359,21.77812,20.05766,18.87679,18.47393,18.11793
1237648675066413307,20.81896,19.42707,18.79452,18.44241,18.03595
1237648675066413487,21.81622,19.7803,18.75632,18.28399,17.79699
1237648675066413501,21.09738,19.14446,18.28618,17.86563,17.44043
1237648673992802690,21.18154,19.88062,19.23525,18.82631,18.44566
1237648675066479174,23.325,21.2767,19.76241,19.15108,18.66882
1237648675066609812,17.61773,15.31805,15.3071,14.13394,13.97206
1237648674531639807,22.22626,20.19419,18.88262,18.37521,17.87952
1237648674532032975,21.54237,20.27565,19.63749,19.36179,19.10659
1237648674532033112,20.92448,19.92862,19.34356,19.04803,18.86377
1237648675066675556,20.32844,18.80063,18.02936,17.54086,17.10803
1237648675066675633,21.45297,19.78554,18.84212,18.32039,17.97463
1237648675066806831,21.68717,20.56554,19.71643,19.34945,19.01668
1237648675066872133,21.63658,19.78341,18.55892,18.04299,17.59482
1237648675066937657,21.01744,19.92049,19.51144,19.212,19.08234
1237648672922600305,22.3814,20.65703,19.23711,18.64722,18.17198
1237648672922534053,19.996,19.01839,18.45691,18.06076,17.66788
1237648675068052554,23.40698,22.82712,20.80589,20.15689,19.6898
1237648672922076418,24.68192,22.47201,20.55806,19.75928,19.22176
1237648675067331235,22.06975,20.65525,20.01784,19.75772,19.43658
1237648675067527571,22.09568,19.98508,18.74279,18.24615,17.86381
1237648675604267318,21.15185,20.10377,19.36107,18.9442,18.65821
1237648674530328877,21.79304,20.83835,19.92094,19.51347,19.38595
1237648674531574366,20.59656,19.16346,18.42731,17.9891,17.66014
1237648674531639780,21.63521,19.72825,18.66258,18.25567,17.87302
1237648675067199844,21.27524,19.38958,18.3823,17.93634,17.5897
1237648675068183075,21.39975,19.52246,18.63167,18.00485,17.51257
1237648675604726382,25.26414,21.90512,19.85712,19.17952,18.68203
1237648674530001433,22.51773,20.95109,19.3166,18.65216,18.06465
1237648674533278744,21.95532,21.07755,20.51829,20.3025,20.07137
1237648674530066690,21.7354,19.87871,18.67026,18.17331,17.77858
1237648674530066790,21.11542,19.66515,18.75507,18.37146,18.03208
1237648674530197810,21.46658,19.90989,18.88754,18.58551,18.26182
1237648674530197850,21.72108,19.94805,18.7777,18.3574,17.98992
1237648674530263563,23.54099,21.24825,19.51603,18.94354,18.65832
1237648674530328779,21.42446,20.195,19.47275,19.21761,19.15996
1237648674533605820,22.14391,19.91795,18.66506,18.22647,17.76173
1237648674530328912,21.23733,19.45549,18.40078,17.9228,17.54791
1237648674530394132,21.97178,20.26859,19.1695,18.7766,18.331
1237648675068379218,21.71831,19.44722,18.25805,17.86055,17.3778
1237648675604726452,23.19106,21.70015,19.83784,19.1311,18.62712
1237648674530656454,21.74522,20.00438,18.87628,18.42166,18.03969
1237648674533605854,22.28895,20.11982,18.92071,18.46585,18.01271
1237648675068379467,19.90603,17.86522,16.90121,16.48073,16.05493
1237648675068379494,21.58429,19.66181,18.56835,18.10252,17.68009
1237648675068379571,21.97269,20.51769,19.49322,18.93094,18.42115
1237648675068379652,21.29571,19.74788,18.95123,18.62056,18.25575
1237648674531508612,21.81835,20.03438,19.0419,18.65619,18.2717
1237648674533737231,21.2444,19.36931,18.27965,17.86054,17.41309
1237648674533738192,23.00771,21.95026,20.20719,19.60618,19.08295
1237648675067986376,21.63673,19.51737,18.39127,17.83854,17.44771
1237648674531639653,20.03869,18.35665,17.42458,16.99263,16.61218
1237648675068446129,24.53292,21.8968,20.23962,19.51877,19.03669
1237648675068510546,21.47178,19.92537,19.1041,18.6752,18.35763
1237648675605053874,21.59287,19.61217,18.52532,17.98939,17.61731
1237648674533933886,19.97829,19.04923,18.45355,18.00005,17.77593
1237648674533934097,23.74113,21.82718,19.90873,19.28321,18.87361
1237648702966923367,19.24567,18.27503,17.92438,17.64725,17.49137
1237648674534130384,21.94453,19.85741,18.7634,18.33208,17.96079
1237648673996276182,21.88571,20.09516,19.19933,18.77957,18.32986
1237648673995556016,23.813,21.82526,20.16593,19.5679,19.17421
1237648675068969138,20.79394,18.87618,17.90749,17.40551,17.04632
1237648674534392523,21.88175,20.07095,19.12142,18.72117,18.30972
